Campaign,CWSAC Reference #,Date(s),Description,Estimated Casualties,Forces Engaged,Location,Other Names,Preservation Priority,Principal Commanders,Result(s),"

On April 30, Confederate Brig. Gen. Nathan Bedford Forrests brigade caught
up with Streights expedition and attacked its rearguard at Days Gap on
Sand Mountain. The Federals repulsed this attack and continued their march
to avoid further delay and envelopment. Thus began a running series of
skirmishes and engagements at Crooked Creek (April 30), Hog Mountain (April
30), Blountsville (May 1), Black Creek/Gadsden (May 2), and Blounts Plantation (May 2). Forrest finally surrounded the exhausted Union soldiers near Rome, Georgia, where he forced their surrender on May 3.

", ,"
CWSAC Reference #","
Preservation Priority","
Result(s)","
Results(s)","

Location","

Date(s)","

Campaign",Battles Associated with the Operations,"   

Sherman first found Johnston's army entrenched in the Marietta area on June 9.  The Confederate's had established defensive lines along Brushy, Pine, and Lost Mountains.  Sherman extended his forces beyond the Confederate lines, causing a partial Rebel withdrawal to another line of positions. After further pressure and skirmishing from Union forces, Johnston withdrew to an arc-shaped position centered on Kennesaw Mountain on June 18 and 19. Sherman made some unsuccessful attacks on this position but eventually extended the line on his right and forced Johnston to withdrawal from the Marietta area on July 2-3.


"
" Price�s Missouri Expedition (1864)

"," MO023

"," October 19, 1864

"," Maj. Gen. Sterling Prices march along the Missouri River

was slow, providing the Yankees a chance to concentrate. Maj. Gen. William

S. Rosecrans, commanding the Department of the Missouri, proposed a pincer

movement to trap Price and his army, but he was unable to communicate with

Maj. Gen. Samuel R. Curtis, commander of the Department of Kansas, to formalize

the plan. Curtis was having problems because many of his troops were Kansas

militia and they refused to enter Missouri, but a force of 2,000 men under

the command of Maj. Gen. James G. Blunt did set out for Lexington. On October

19, Prices army approached Lexington, collided with Union scouts and pickets

about 2:00 pm, drove them back, and engaged in a battle with the main force.

The Yankees resisted at first, but Prices army eventually pushed them

through the town to the western outskirts and pursued them along the Independence

Road until night fall. Without Curtiss entire force, the Yankees could

not stop Prices army, but they did further retard their slow march. Blunt

gained valuable information about the size and disposition of Prices army.




"," Unknown

"," 1st Division, Army of the Border [US]; Army of Missouri

[CS]

"," Lafayette County

"," None

"," IV.1 (Class D)
"," Maj. Gen. James G. Blunt [US]; Maj. Gen. Sterling

Price [CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations to Control Missouri (1861)


"," MO003

"," September 17, 1861

"," General D.R. Atchison left Lexington on September 15,

1861, and proceeded to Liberty where he met the Missouri State Guard. On

the night of September 16-17, his force crossed the Missouri River to the

south side and prepared for a fight with Union troops reported to be in

the area. At the same time, Union Lt. Col. John Scott led a force of about

600 men from Cameron, on the 15th, towards Liberty. He left his camp in

Centreville, at 2:00 am on the 17th. He arrived in Liberty, sent scouts

out to find the enemy, and, about 11:00 am, skirmishing began. At noon,

Scott marched in the direction of the firing, approached Blue Mills Landing

and, at 3:00 am, struck the Confederate pickets. The Union force began

to fall back, though, and the Rebels pursued for some distance. The fight

lasted for an hour. The Confederates were consolidating influence in northwestern

Missouri.



"," 126 total (US 56; CS 70)

","  Detachments of 3rd Iowa Infantry, Home Guards, and artillery

(approx. 600 men) [US]; 4th Division, Missouri State Guard [CS]


"," Clay County
","  Blue Mills Landing, Blue Mills


"," III.4 (Class D)
"," Lt. Col. John Scott [US]; �General D.R. Atchison

(Atkinson) [CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Price�s Missouri Expedition (1864)

"," MO024

"," October 21, 1864

","  Prices march along the Missouri River was slow, providing

the Yankees a chance to concentrate. Maj. Gen. William S. Rosecrans, commanding

the Department of the Missouri, proposed a pincer movement to trap Price

and his army, but he was unable to communicate with Maj. Gen. Samuel R.

Curtis, commander of the Department of Kansas, to formalize the plan. Curtis

was having problems because many of his troops were Kansas militia and

they refused to enter Missouri, but a force of about 2,000 men under the

command of Maj. Gen. James G. Blunt did set out for Lexington. He met the

Confederate troops at Lexington on the 19th, slowed their progress, but

was defeated and retreated. On the 20th, Blunts troops arrived on the

Little Blue River, eight miles east of Independence. The Union force prepared

to engage the Confederates again in a strong defensive position on the

west bank. Curtis, however, ordered Blunt into Independence while leaving

a small force, under Col. Thomas Moonlight, on the Little Blue. The next

day, Curtis ordered Blunt to take all of the volunteers and return to the

Little Blue. As he neared the stream, he discovered that Moonlights small

force had burned the bridge as ordered, engaged the enemy, and retreated

away from the strong defensive position occupied the day before, crossing

the river. Blunt entered the fray and attempted to drive the enemy back

beyond the defensive position that he wished to reoccupy. The Yankees forced

the Confederates to fall back, at first, but their numerical superiority

took its toll in the five-hour battle. The Federals retreated to Independence

and went into camp there after dark. Once again, the Confederates had been

slowed and more Union reinforcements were arriving.



"," Unknown

"," 1st Division, Army of the Border [US]; Army of Missouri

[CS]


"," Jackson County

"," Westport

"," IV.1 (Class D)
"," Maj. Gen. Samuel R. Curtis [US]; Maj. Gen. Sterling

Price [CS]

"," Confederate victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations North of Boston Mountains (1862)

","  MO015

"," August 15-16, 1862

","  Maj. Emory S. Foster, under orders, led an 800-man combined

force from Lexington to Lone Jack. Upon reaching the Lone Jack area, he

discovered 1,600 Rebels under Col. J.T. Coffee and prepared to attack them.

About 9:00 pm on the 15th, he and his men attacked the Confederate camp

and dispersed the force. Early the next morning, Union pickets informed

Foster that a 3,000-man Confederate force was advancing on him. Soon afterwards,

this force attacked and a battle ensued that involved charges, retreats,

and counterattacks. After five hours of fighting and the loss of Foster,

Coffee and his 1,500 men reappeared, causing Foster�s successor, Capt.

M.H. Brawner to order a retreat. The men left the field in good order and

returned to Lexington. This was a Confederate victory, but the Rebels had

to evacuate the area soon afterward, when threatened by the approach of

large Union forces. Except for a short period of time during Prices Raid,

in 1864, the Confederacy lost its clout in Jackson County.

"," 270 total (US 160; CS 110)

"," Detachments from fourteen companies of cavalry and a

section of artillery (800 men) [US]; unknown [CS]

"," Jackson County


"," None

"," II.4 (Class D)
","  Maj. Emory S. Foster [US]; Col. Jeremiah Vard

Cockrell, Col. G.W. Thompson, and Col. Upton Hays [CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Prices Missouri Expedition (1864)

"," MO028

","  October 25, 1864


"," Following the Battle of Mine Creek, Maj. Gen. Sterling

Price continued his cartage towards Fort Scott. In late afternoon of October

25, Prices supply train had difficulty crossing the Marmiton River ford

and, like at Mine Creek, Price had to make a stand. Brig. Gen. John S.

McNeil, commanding two brigades of Pleasontons cavalry division, attacked

the Confederate troops that Price and his officers rallied, included a

sizable number of unarmed men. McNeil observed the sizable Confederate

force, not knowing that many of them were unarmed, and refrained from an

all out assault. After about two hours of skirmishing, Price continued

his retreat and McNeil could not mount an effective pursuit. Prices army

was broken by this time, and it was simply a question of how many men he

could successfully evacuate to friendly territory.


"," Unknown

"," Two brigades, provisional cavalry division [US]; Army

of Missouri [CS]


"," Vernon County

"," Shiloh Creek, Charlot�s Farm

"," III.4 (Class D)
"," Brig. Gen. John H. McNeil [US]; Maj. Gen. Sterling

Price [CS]

"," Union victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations in Northeast Missouri (1861-62)


"," MO010

"," December 28, 1861

"," Brig. Gen. Benjamin M. Prentiss led a Union force of 5

mounted companies and 2 companies of Birges sharpshooters into Boone County

to protect the North Missouri Railroad and overawe secessionist sentiment

there. After arriving in Sturgeon on December 26, Prentiss learned of a

band of Rebels near Hallsville. He sent a company to Hallsville the next

day that fought a Confederate force under the command of Col. Caleb Dorsey

and suffered numerous casualties, including many taken prisoner, before

retreating to Sturgeon. On the 28th, Prentiss set out with his entire force

to meet Dorseys Rebels. He routed one company of Confederates on the road

from Hallsville to Mount Zion and learned that the rest of the force was

at Mount Zion Church. Prentiss headed for the church. After a short battle,

the Confederates retreated, leaving their killed and wounded on the battlefield

and abandoning many animals, weapons, and supplies. This action and others

curtailed Rebel recruiting activities in Central Missouri.



"," 282 total (US 72; CS 210)


"," Detachments of the 3rd Missouri Cavalry Regiment (approx.

240) and Birge�s Sharpshooters (approx. 200) [US]; unknown [CS]


"," Boone County

"," None

","  III.4 (Class D)
"," Brig. Gen. Benjamin M. Prentiss [US]; Col. Caleb

Dorsey [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Joint Operations on the Middle Mississippi River (1862)

","  MO012

"," February 28-April 8, 1862
"," With the surrender of Forts Henry and Donelson, Tennessee,

and the evacuation of Columbus, Kentucky, Gen. P.G.T. Beauregard, commander

of the Confederate Army of the Mississippi, chose Island No. 10, about

60 river miles below Columbus, to be the strongpoint for defending the

Mississippi River. Nearby was New Madrid, one of the weak points. Brig.

Gen. John Pope, commander of the Union Army of the Mississippi, set out

from Commerce, Missouri, to attack New Madrid, on February 28. The force

marched overland through swamps, lugging supplies and artillery, reached

the New Madrid outskirts on March 3, and laid siege to the city. Brig.

Gen. John P. McCown, the garrison commander, defended both New Madrid and

Island No. 10 from the fortifications. He launched a sortie, under Brig.

Gen. M. Jeff Thompson, Missouri State Guard, against the besiegers and

brought up heavy artillery to bombard them. On the 13th, the Confederates

bombarded the Yankees to no avail. Since it did not appear possible to

defend New Madrid, the Confederate gunboats and troops evacuated to Island

No. 10 and Tiptonville. On the 14th, Pope�s army discovered that New Madrid

was deserted and moved in to occupy it. A U.S. Navy flotilla, under the

command of Flag-Officer Andrew H. Foote, arrived March 15 upstream from

Island No. 10. The ironclad Carondelet on the night of April 4 passed the

Island No. 10 batteries and anchored off New Madrid. Pittsburgh followed

on the night of April 6. The ironclads helped to overawe the Confederate

batteries and guns, enabling Popes men to cross the river and block the

Confederate escape route. Brig. Gen. William W. Mackall, who replaced McCown,

surrendered Island No. 10 on April 8. The Mississippi was now open down

to Fort Pillow, Tennessee.



","  Unknown

"," Army of the Mississippi [US]; Garrisons of New Madrid

and Island No. 10 [CS]


"," City of New Madrid, Missouri; Lake County, Tennessee


"," None

"," IV.2 (Class A)
","  Brig. Gen. John Pope and Flag-Officer Andrew H.

Foote [US]; Brig. Gen. John P. McCown and Brig. Gen. William W. Mackall

[CS]
"," Union victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Price�s Missouri Expedition (1864)
"," MO029

"," October 28, 1864
"," Prices force was in full retreat following its expedition

into Missouri. On October 28, 1864, it stopped to rest about two miles

south of Newtonia, Missouri. Soon afterward, Maj. Gen. James G. Blunts

Union troops surprised the Confederates and began to drive them. Brig.

Gen. Joe Shelbys division, including his Iron Brigade, rode to the front,

dismounted, and engaged the Yankees while the other Rebel troops retreated

towards Indian Territory. Brig. Gen. John B. Sanborn later appeared with

Union reinforcements which convinced Shelby to retire. The Union troops

forced the Confederates to retreat but failed to destroy or capture them.

"," 650 total (US 400; CS 250)

"," Five brigades [US]; remnants of Prices Army of Missouri

[CS]

"," Newton County

"," None

"," I.3 (Class B)

"," Maj. Gen. James G. Blunt [US]; Maj. Gen. Sterling

Price [CS]


"," Union victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations North of Boston Mountains (1862)

"," MO016

"," September 30, 1862

"," Following the Battle of Pea Ridge, in March 1862, most

Confederate and Union troops left northwestern Arkansas and southwestern

Missouri. By late summer, Confederates returned to the area, which caused

much apprehension in nearby Federally-occupied Springfield, Missouri, and

Fort Scott, Kansas. Confederate Col. Douglas Cooper reached the area on

the 27th and assigned two of his units to Newtonia where there was a mill

for making breadstuffs. In mid-September, two brigades of Brig. Gen. James

G. Blunt�s Union Army of Kansas left Fort Scott for Southwest Missouri.

On the 29th, Union scouts approached Newtonia but were chased away. Other

Union troops appeared in nearby Granby where there were lead mines, and

Cooper sent some reinforcements there. The next morning, Union troops appeared

before Newtonia and fighting ensued by 7:00 am. The Federals began driving

the enemy, but Confederate reinforcements arrived, swelling the numbers.

The Federals gave way and retreated in haste. As they did so, some of their

reinforcements appeared and helped to stem their retreat. The Union forces

then renewed the attack, threatening the enemy right flank. But newly arrived

Confederates stopped that attack and eventually forced the Federals to

retire again. Pursuit of the Federals continued after dark. Union gunners

posted artillery in the roadway to halt the pursuit. As Confederate gunners

observed the Union artillery fire for location, they fired back, creating

panic. The Union retreat turned into a rout as some ran all the way to

Sarcoxie, more than ten miles away. Although the Confederates won the battle,

they were unable to maintain themselves in the area given the great numbers

of Union troops. Most Confederates retreated into northwest Arkansas. The

1862 Confederate victories in southwestern Missouri at Newtonia and Clarks

Mill were the Souths apogee in the area; afterwards, the only Confederates

in the area belonged to raiding columns.


"," 345 total (US 245; CS 100)

"," Two brigades, Army of Kansas (1,500) [US]; Cooper's

Division [CS]

"," Newton County

"," None

"," II.3 (Class C)
"," Brig. Gen. Friedrich Salomon [US]; Col. Douglas

H. Cooper [CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations in Northeast Missouri (1861-62)
"," MO011

"," January 8, 1862


"," Rumors and sightings of a Confederate force in the Howard

County area had circulated for more than a week, but the Union troops could

not locate them. On January 7, 1862, information came to hand that Col.

J.A. Poindexter and his Confederate force were camped on Silver Creek.

Detachments from various Union units came together and headed towards the

Confederate camp which was about 14 miles northwest of Fayette. After finding

the camp, the force attacked, routing the enemy and sending those that

were not killed, wounded, or captured fleeing for safety. Afterwards, the

Union force destroyed the camp to prevent its further use. The Confederates

could no longer use their Randolph County base for recruiting and raiding.


"," 91 total (US 11; CS 80)

","  Detachments from the 1st and 2nd Missouri Cavalry, 4th

Ohio Cavalry, and 1st Iowa Cavalry (450) [US]; unknown [CS]

"," Randolf County

"," Silver Creek

"," III.4 (Class D)
"," Maj. W.M.G. Torrence [US]; Col. J.A. Poindexter

[CS]


"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations to Control Missouri (1861)

"," MO008

"," October 25, 1861

","  Having accomplished little since taking command of the

Western Department, with headquarters in St. Louis, Missouri, Maj. Gen.

John C. Frémont formulated a plan to clear Maj. Gen. Sterling Prices

Rebels from the state and then, if possible, carry the war into Arkansas

and Louisiana. Leaving St. Louis on October 7, 1861, Frémonts combined

force eventually numbered more than 20,000. His accompanying cavalry force,

numbering 5,000 men and other mounted troops, included Maj. Frank J. Whites

Prairie Scouts and Frémont's Body Guards under Maj. Charles Zagonyi.

Maj. White became ill and turned his command over to Zagonyi. These two

units operated in front of Frémonts army to gather intelligence.

As Frémont neared Springfield, the local state guard commander,

Col. Julian Frazier, sent out requests to nearby localities for additional

troops. Frémont camped on the Pomme de Terre River, about 50 miles

from Springfield. Zagonyis column, though, continued on to Springfield,

and Fraziers force of 1,000 to 1,500 prepared to meet it. Frazier set

up an ambush along the road that Zagonyi travelled, but the Union force

charged the Rebels, sending them fleeing. Zagonyis men continued into

town, hailed Federal sympathizers and released Union prisoners. Leery of

a Confederate counterattack, Zagonyi departed Springfield before night,

but Frémonts army returned, in force, a few days later and set

up camp in the town. In mid-November, after Frémont was sacked and

replaced by Maj. Gen. Hunter, the Federals evacuated Springfield and withdrew

to Sedalia and Rolla. Federal troops reoccupied Springfield in early 1862

and it was a Union stronghold from then on. This engagement at Springfield

was the only Union victory in southwestern Missouri in 1861.



"," 218 total (US 85; CS 133)


"," Prairie Scouts and Frémonts Body Guard [US];

Missouri State Guard troops [CS]


"," Greene County
"," Zagonyi�s Charge

"," IV.2 (Class D)
"," Maj. James Zagonyi [US]; Col. James Frazier [CS]


"," Union victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Marmaduke�s First Expedition into Missouri (1862-63)

"," MO018

"," January 8, 1863

"," Brig. Gen. John S. Marmadukes expedition into Missouri

reached Ozark, where it destroyed the Union post, and then approached Springfield

on the morning of January 8, 1863. Springfield was an important Federal

communications center and supply depot so the Rebels wished to destroy

it. The Union army had constructed fortifications to defend the town. Their

ranks, however, were depleted because Francis J. Herrons two divisions

had not yet returned from their victory at Prairie Grove on December 7.

After receiving a report on January 7 of the Rebels approach, Brig. Gen.

Egbert B. Brown set about preparing for the attack and rounding up additional

troops. Around 10:00 am, the Confederates advanced in battle line to the

attack. The day included desperate fighting with attacks and counterattacks

until after dark, but the Federal troops held and the Rebels withdrew during

the night. Brown had been wounded during the day. The Confederates appeared

in force the next morning but retired without attacking. The Federal depot

was successfully defended, and Union strength in the area continued.


"," 403 total (US 163; CS 240)

"," Southwestern District of Missouri Troops (2,000) [US];

4th Division, I Corps, Trans-Mississippi Department [CS]

"," Greene County

"," None

"," IV.1 (Class D)
"," Brig. Gen. Egbert B. Brown [US]; Brig. Gen. John

S. Marmaduke [CS]

"," Union victory, although the raid ultimately failed.

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Price�s Missouri Expedition (1864)
"," MO027

"," October 23, 1864

"," Maj. Gen. Sterling Prices Missouri Expedition had changed

course from St. Louis and Jefferson City to Kansas City and Fort Leavenworth.

As his army neared Kansas City, Maj. Gen. Samuel R. Curtiss Army of the

Border blocked its way west, while Maj. Gen. Alfred Pleasontons provisional

cavalry division was closing on their rear. Price decided that he needed

to deal with the two Union forces and decided to attack them one at a time.

With Pleasonton still behind him, Price chose to strike Curtis at Westport

first. Curtis had established strong defensive lines and during a four-hour

battle, the Confederates hurled themselves at the Union forces but to no

avail. The Rebels could not break the Union lines and retreated south.

Westport was the decisive battle of Prices Missouri Expedition, and from

this point on, the Rebels were in retreat.


"," 3,000 total (US 1,500; CS 1,500)

"," Army of the Border [US]; Army of Missouri [CS]
"," Jackson County

"," None

"," IV.2 (Class A)
"," Maj. Gen. Samuel R. Curtis [US]; Maj. Gen. Sterling

Price [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations to Control Missouri (1861)

"," MO004

"," August 10, 1861


","  Brig. Gen. Nathaniel Lyons Army of the West was camped

at Springfield, Missouri, with Confederate troops under the commands of

Brig. Gen. Ben McCulloch approaching. On August 9, both sides formulated

plans to attack the other. About 5:00 am on the 10th, Lyon, in two columns

commanded by himself and Col. Franz Sigel, attacked the Confederates on

Wilsons Creek about 12 miles southwest of Springfield. Rebel cavalry received

the first blow and fell back away from Bloody Hill. Confederate forces

soon rushed up and stabilized their positions. The Confederates attacked

the Union forces three times that day but failed to break through the Union

line. Lyon was killed during the battle and Maj. Samuel D. Sturgis replaced

him. Meanwhile, the Confederates had routed Sigels column, south of Skeggs

Branch. Following the third Confederate attack, which ended at 11:00 am,

the Confederates withdrew. Sturgis realized, however, that his men were

exhausted and his ammunition was low, so he ordered a retreat to Springfield.

The Confederates were too disorganized and ill-equipped to pursue. This

Confederate victory buoyed southern sympathizers in Missouri and served

as a springboard for a bold thrust north that carried Price and his Missouri

State Guard as far as Lexington. In late October, a rump convention, convened

by Governor Claiborne Fox Jackson, met in Neosho and passed an ordinance

of secession. Wilsons Creek, the most significant 1861 battle in Missouri,

gave the Confederates control of southwestern Missouri.



"," 2,330 total (US 1,235; CS 1,095)

"," Army of the West [US]; Missouri State Guard and McCullochs

Brigade [CS]
"," Greene County and Christian County

"," Oak Hills
"," III.1 (Class A)

"," Brig. Gen. Nathaniel Lyon and Maj. Gen. Samuel

D. Sturgis [US]; Maj. Gen. Sterling Price, Missouri State Guard, and Brig.

Gen. Ben McCulloch [CS]
"," Confederate victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Sibley�s New Mexico Campaign (1862)
"," NM002
","  March 26-28, 1862

"," Glorieta Pass was a strategic location, situated at the

southern tip of the Sangre de Cristo Mountains, southeast of Santa Fe,

and on the Santa Fe Trail. In March 1862, a Confederate force of 200-300

Texans under the command of Maj. Charles L. Pyron encamped at Johnsons

Ranch, at one end of the pass. Union Maj. John M. Chivington led more than

400 soldiers to the Pass and on the morning of March 26 moved out to attack.

After noon, Chivingtons men captured some Rebel advance troops and then

found the main force behind them. Chivington advanced on them, but their

artillery fire threw him back. He regrouped, split his force to the two

sides of the pass, caught the Rebels in a crossfire, and soon forced them

to retire. Pyron and his men retired about a mile and a half to a narrow

section of the pass and formed a defensive line before Chivingtons men

appeared. The Yankees flanked Pyrons men again and punished them with

enfilade fire. The Confederates fled again and the Union cavalry charged,

capturing the rearguard. Chivington then retired and went into camp at

Kozlowskis Ranch. No fighting occurred the next day as reinforcements

arrived for both sides. Lt. Col. William R. Scurrys troops swelled the

Rebel ranks to about 1,100 while Union Col. John P. Slough arrived with

about 900 men. Both Slough and Scurry decided to attack and set out early

on the 28th to do so. As Scurry advanced down the canyon, he saw the Union

forces approaching, so he established a battle line, including his dismounted

cavalry. Slough hit them before 11:00 am. The Confederates held their ground

and then attacked and counterattacked throughout the afternoon. The fighting

then ended as Slough retired first to Pigeons Ranch and then to Kozlowskis

Ranch. Scurry soon left the field also, thinking he had won the battle.

Chivingtons men, how-ever, had destroyed all Scurrys supplies and animals

at Johnsons Ranch, forcing him to retreat to Santa Fe, the first step

on the long road back to San Antonio, Texas. The Federals had won and,

thereby, stopped Confederate incursions into the Southwest. Glorieta Pass

was the turning point of the war in the New Mexico Territory.


"," 331 total (US 142; CS 189)

"," Northern Division, Army of New Mexico [US]; 4th, 5th,

and 7th Texas Cavalry Regiment, artillery, and a company of independent

volunteers [CS]

"," Santa Fe County and San Miguel County

"," La Glorieta Pass

"," I.1 (Class A)

"," Maj. John C. Chivington and Col. John P. Slough

[US]; Maj. Charles L. Pyron and Lt. Col. William R. Scurry [CS]
"," Union victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Sibley�s New Mexico Campaign (1862)

"," NM001

"," February 20-21, 1862

"," Brig. Gen. Henry H. Sibley led his force of 2,500 men across

the Rio Grande River and up the east side of the river to the ford at Valverde,

north of Fort Craig, New Mexico, hoping to cut Federal communications between

the fort and military headquarters in Santa Fe. Union Col. E.R.S. Canby

left Fort Craig with more than 3,000 men to prevent the Confederates from

crossing the river. When he was opposite them, across the river, Canby

opened fire and sent Union cavalry over, forcing the Rebels back. The Confederates

halted their retirement at the Old Rio Grande riverbed, which served as

an excellent position. After crossing all his men, Canby decided that a

frontal assault would fail and deployed his force to assault and turn the

Confederate left flank. Before he could do so, though, the Rebels attacked.

Federals rebuffed a cavalry charge, but the main Confederate force made

a frontal attack, capturing six artillery pieces and forcing the Union

battle line to break and many of the men to flee. Canby ordered a retreat.

Confederate reinforcements arrived and Sibley was about to order another

attack when Canby asked for a truce, by a white flag, to remove the bodies

of the dead and wounded. Left in possession of the battlefield, the Confederates

claimed victory but had suffered heavy casualties. Although the Confederates

would soon occupy Santa Fe, they would have to leave New Mexico within

four months.



"," 389 total (US 202; CS 187)

"," Department of New Mexico (combination of regular and

volunteer units) [US]; Army of New Mexico [CS]

"," Socorro County


","  None


"," II.2 (Class B)
"," Col. E.R.S. Canby [US]; Brig. Gen. Henry H. Sibley

and Col. Thomas Green [CS]

"," Confederate victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations against Plymouth (April-May 1864)

"," NC013

"," May 5, 1864

"," On May 5, CSS Albemarle fought seven blockading Union ships

to a draw at the mouth of the Roanoke River. Federals recaptured the converted

steamer Bombshell. USS Sassacus was badly damaged.


"," 88 total

"," 9 gunboats [US]; Confederate ram [CS]

"," Chowan County and Washington County

"," None

"," III.3 (Class C)
"," Capt. Melancton Smith [US]; Cdr. J.W. Cooke [CS]


"," Inconclusive


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"  Campaign of the Carolinas (February-April 1865)

","  NC019

"," March 16, 1865

"," On the afternoon of March 15, Judson Kilpatricks cavalry

came up against Lt. Gen. William Hardees corpsconsisting of Taliaferros

and McLaws infantry divisions and Wheelers dismounted cavalrydeployed

across the Raleigh Road near Smithville. After feeling out the Confederate

defenses, Kilpatrick withdrew and called for infantry support. During the

night, four divisions of the XX Corps arrived to confront the Confederates.

At dawn, March 16, the Federals advanced on a division front, driving back

skirmishers, but they were stopped by the main Confederate line and a counterattack.

Mid-morning, the Federals renewed their advance with strong reinforcements

and drove the Confederates from two lines of works, but were repulsed at

a third line. Late afternoon, the Union XIV Corps began to arrive on the

field but was unable to deploy before dark due to the swampy ground. Hardee

retreated during the night after holding up the Union advance for nearly

two days.



"," 1,419 total

"," XX Corps and XIV Corps (25,992) [US]; Hardees Corps

(5,400) [CS]



"," Harnett County and Cumberland County

"," Taylor�s Hole Creek, Smithville, Smiths Ferry, Black River

"," III.3 (Class C)
","  Maj. Gen. Henry Slocum [US]; Lt. Gen. William

Hardee [CS]


"," Inconclusive


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Campaign of the Carolinas (February-April 1865)

","  NC020

"," March 19-21, 1865


"," While Slocums advance was stalled at Averasborough by

Hardees troops, the right wing of Shermans army under command of Maj.

Gen. O.O. Howard marched toward Goldsborough.  On March 19, Slocum

encountered the entrenched Confederates of Gen. Joseph E. Johnston who

had concentrated to meet his advance at Bentonville. Late afternoon, Johnston

attacked, crushing the line of the XIV Corps. Only strong counterattacks

and desperate fighting south of the Goldsborough Road blunted the Confederate

offensive. Elements of the XX Corps were thrown into the action as they

arrived on the field. Five Confederate attacks failed to dislodge the Federal

defenders and darkness ended the first days fighting. During the night,

Johnston contracted his line into a V to protect his flanks with Mill

Creek to his rear. On March 20, Slocum was heavily reinforced, but fighting

was sporadic. Sherman was inclined to let Johnston retreat. On the 21st,

however, Johnston remained in position while he removed his wounded. Skirmishing

heated up along the entire front. In the afternoon, Maj. Gen. Joseph Mower

led his Union division along a narrow trace that carried it across Mill

Creek into Johnstons rear. Confederate counterattacks stopped Mowers

advance, saving the armys only line of communication and retreat. Mower

withdrew, ending fighting for the day. During the night, Johnston retreated

across the bridge at Bentonville. Union forces pursued at first light,

driving back Wheelers rearguard and saving the bridge. Federal pursuit

was halted at Hannahs Creek after a severe skirmish. Sherman, after regrouping

at Goldsborough, pursued Johnston toward Raleigh. On April 18, Johnston

signed an armistice with Sherman at the Bennett House, and on April 26,

formally surrendered his army.



"," 4,738 total (US 1,646; CS 3,092)

"," Sherman�s Right Wing (XX and XIV Corps) [US]; Johnston's

Army [CS]

"," Johnston County

"," Bentonsville

"," I.1 (Class A)
"," Maj. Gen. William T. Sherman and Maj. Gen. Henry

Slocum [US]; Gen. Joseph E. Johnston [CS]


"," Union victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Longstreet�s Tidewater Operations (February-May 1863)


"," NC010

"," March 13-15, 1863

","  Lt. Gen. James Longstreet took charge of the Department

of Virginia and North Carolina on February 25 and initiated his Tidewater

Operations. He directed D.H. Hill, commander of the North Carolina District,

to advance on the Union stronghold of New Berne with about 12,000 men.

Maj. Gen. William H.T. Whiting, who commanded the Wilmington garrison,

refused to cooperate. After an initial success at Deep Gully on March 13,

Hill marched against the well-entrenched Federals at Fort Anderson on March

14-15. Hill was forced to retire upon the arrival of Union gunboats. The

citys garrison was heavily reinforced, and Hill withdrew to threaten Washington,

North Carolina.

"," 7 total

"," 1st Division, XVIII Corps [US]; Hills Division [CS]
"," Craven County

"," Deep Gully

"," III.4 (Class D)
"," Lt. Col. Hiram Anderson [US]; Maj. Gen. D.H. Hill

[CS]
"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
